1568591656445	-1.28231	0.777273	0.0342357	-0.15179	0.0266153	0.988054	-0.10891	0.9931	-0.0434826	-0.982394	-0.114209	-0.147844
1568591656447	-1.28231	0.777274	0.0342346	-0.151771	0.0266036	0.988058	-0.108918	0.9931	-0.0434697	-0.982396	-0.114215	-0.147826
1568591656449	-1.28226	0.777272	0.0343238	-0.151774	0.0265567	0.988058	-0.108899	0.993104	-0.0434202	-0.982398	-0.114189	-0.147836
1568591656451	-1.28226	0.777273	0.0343232	-0.151773	0.0265587	0.988058	-0.108893	0.993105	-0.0434212	-0.982399	-0.114183	-0.147835
1568591656453	-1.28226	0.777274	0.0343211	-0.151788	0.0265486	0.988056	-0.108896	0.993105	-0.0434132	-0.982396	-0.114185	-0.147851
1568591656455	-1.28226	0.777275	0.0343196	-0.151798	0.026544	0.988055	-0.108893	0.993105	-0.0434093	-0.982395	-0.114182	-0.147861
1568591656457	-1.28225	0.777248	0.0343058	-0.151798	0.0265761	0.988054	-0.108884	0.993105	-0.0434402	-0.982396	-0.114178	-0.147858
1568591656459	-1.28225	0.77725	0.0343046	-0.151798	0.0265784	0.988054	-0.108872	0.993106	-0.0434408	-0.982397	-0.114166	-0.147858
1568591656461	-1.28225	0.77725	0.0343038	-0.151791	0.0265668	0.988055	-0.108876	0.993106	-0.0434289	-0.982398	-0.114168	-0.147852
1568591656464	-1.28225	0.77725	0.0343026	-0.151783	0.0265733	0.988056	-0.108881	0.993105	-0.0434351	-0.982398	-0.114173	-0.147843
1568591656466	-1.28224	0.777253	0.0342997	-0.151788	0.0265726	0.988056	-0.108863	0.993107	-0.0434323	-0.9824	-0.114155	-0.147849
1568591656468	-1.28224	0.777254	0.034297	-0.151808	0.0265815	0.988052	-0.108861	0.993107	-0.0434432	-0.982397	-0.114155	-0.147868
1568591656470	-1.28224	0.777254	0.034295	-0.151817	0.0265835	0.988051	-0.108863	0.993107	-0.0434466	-0.982395	-0.114158	-0.147877
1568591656472	-1.28224	0.777255	0.0342946	-0.151797	0.0265836	0.988054	-0.108872	0.993106	-0.0434457	-0.982397	-0.114166	-0.147856
1568591656474	-1.28224	0.777255	0.0342932	-0.151794	0.0265836	0.988055	-0.108881	0.993105	-0.0434468	-0.982397	-0.114175	-0.147853
1568591656476	-1.28224	0.777256	0.0342913	-0.151793	0.0265865	0.988055	-0.108871	0.993106	-0.0434481	-0.982398	-0.114166	-0.147852
1568591656479	-1.28224	0.777255	0.034288	-0.151794	0.0265954	0.988054	-0.108881	0.993104	-0.0434586	-0.982397	-0.114177	-0.147852
1568591656481	-1.28224	0.777256	0.0342863	-0.151793	0.0266063	0.988054	-0.10888	0.993104	-0.0434693	-0.982397	-0.114178	-0.147849
1568591656483	-1.28221	0.777257	0.0343471	-0.151796	0.0265632	0.988055	-0.108848	0.99311	-0.0434216	-0.9824	-0.114139	-0.147859
1568591656487	-1.28221	0.777257	0.0343461	-0.151787	0.0265763	0.988056	-0.108853	0.993109	-0.0434344	-0.982401	-0.114145	-0.147848
1568591656489	-1.28225	0.777295	0.0343769	-0.151792	0.0265594	0.988055	-0.10888	0.993106	-0.043422	-0.982397	-0.11417	-0.147854
1568591656492	-1.28225	0.777297	0.0343757	-0.151797	0.02656	0.988055	-0.108878	0.993106	-0.0434229	-0.982397	-0.114169	-0.147858
1568591656496	-1.28225	0.777299	0.0343738	-0.151811	0.0265679	0.988052	-0.10889	0.993104	-0.0434344	-0.982393	-0.114183	-0.147871
1568591656500	-1.28224	0.777304	0.0343705	-0.151808	0.02657	0.988053	-0.108877	0.993106	-0.0434341	-0.982395	-0.11417	-0.147869
1568591656503	-1.28224	0.777306	0.0343685	-0.151826	0.0265599	0.98805	-0.108882	0.993106	-0.0434268	-0.982392	-0.114174	-0.147888
1568591656506	-1.28225	0.777299	0.0343769	-0.151817	0.0265599	0.988052	-0.108899	0.993104	-0.0434283	-0.982391	-0.114191	-0.147878
1568591656509	-1.28225	0.777301	0.0343765	-0.151809	0.0265478	0.988053	-0.108906	0.993103	-0.0434163	-0.982392	-0.114196	-0.147871
1568591656512	-1.28225	0.777303	0.034376	-0.151805	0.0265447	0.988054	-0.10891	0.993103	-0.0434134	-0.982392	-0.1142	-0.147867
1568591656514	-1.28224	0.777305	0.0343879	-0.15181	0.0265355	0.988053	-0.108895	0.993105	-0.0434025	-0.982393	-0.114183	-0.147874
1568591656516	-1.28224	0.777306	0.0343876	-0.15181	0.0265268	0.988054	-0.10889	0.993106	-0.0433929	-0.982393	-0.114177	-0.147875
1568591656518	-1.28224	0.777307	0.0343875	-0.151809	0.0265238	0.988054	-0.108893	0.993106	-0.0433902	-0.982393	-0.114179	-0.147874
1568591656520	-1.28224	0.777308	0.0343882	-0.151797	0.0265246	0.988056	-0.108897	0.993106	-0.0433902	-0.982395	-0.114182	-0.147862
1568591656523	-1.28225	0.777309	0.0343876	-0.151805	0.0265236	0.988054	-0.108905	0.993105	-0.0433915	-0.982392	-0.114191	-0.14787
1568591656526	-1.28216	0.777193	0.0343134	-0.151798	0.0265759	0.988054	-0.108864	0.993107	-0.0434371	-0.982398	-0.114158	-0.147859
1568591656528	-1.28215	0.777193	0.0343125	-0.151799	0.0265776	0.988054	-0.10886	0.993108	-0.0434381	-0.982398	-0.114153	-0.147859
1568591656530	-1.28215	0.777192	0.0343111	-0.151804	0.026572	0.988053	-0.108856	0.993108	-0.0434326	-0.982398	-0.114149	-0.147866
