-821.8,-138.2,1600,-135,90,90
-821.8,-803.6,1600,-135,90,90
-643.6,-981.8,1600,-135,90,90
-465.4,-803.6,1600,-135,90,90
-465.4,-316.4,1600,-135,90,90
-287.2,-138.2,1600,-135,90,90
-109,-316.4,1600,-135,90,90
-109,-803.6,1600,-135,90,90
69.2,-981.8,1600,-135,90,90
247.4,-803.6,1600,-135,90,90
247.4,-316.4,1600,-135,90,90
425.6,-138.2,1600,-135,90,90
603.8,-316.4,1600,-135,90,90
603.8,-803.6,1600,-135,90,90
782,-981.8,1600,-135,90,90
960.2,-803.6,1600,-135,90,90
960.2,-138.2,1600,-135,90,90
960.2,-138.2,1600,-135,90,90
960.2,780.052,1600,-135,90,90
782,958.252,1600,-135,90,90
603.8,780.052,1600,-135,90,90
603.8,341.572,1600,-135,90,90
425.6,163.372,1600,-135,90,90
247.4,341.572,1600,-135,90,90
247.4,780.052,1600,-135,90,90
69.2,958.252,1600,-135,90,90
-109,780.052,1600,-135,90,90
-109,341.572,1600,-135,90,90
-287.2,163.372,1600,-135,90,90
-465.4,341.572,1600,-135,90,90
-465.4,780.052,1600,-135,90,90
-643.6,958.252,1600,-135,90,90
-821.8,780.052,1600,-135,90,90
-821.8,114.652,1600,-135,90,90
