RIGHT	1568591656445	1.01752	0.848204	-0.234296	0.718778	-0.132875	-0.682424	-0.0406783	0.971847	-0.232074	0.694049	0.194569	0.693137
RIGHT	1568591656447	1.01752	0.848204	-0.234297	0.718778	-0.132875	-0.682424	-0.0406838	0.971846	-0.23208	0.694048	0.194577	0.693135
RIGHT	1568591656449	1.01758	0.848217	-0.234286	0.718757	-0.132924	-0.682436	-0.0405682	0.971863	-0.232026	0.694076	0.194456	0.693141
RIGHT	1568591656451	1.01752	0.848204	-0.234296	0.718778	-0.132875	-0.682424	-0.0406783	0.971847	-0.232074	0.694049	0.194569	0.693137
RIGHT	1568591656453	1.01758	0.848217	-0.234286	0.718757	-0.132924	-0.682436	-0.0405682	0.971863	-0.232026	0.694076	0.194456	0.693141
RIGHT	1568591656455	1.01759	0.848223	-0.234288	0.718747	-0.13293	-0.682446	-0.0405697	0.971862	-0.232032	0.694087	0.194459	0.69313
RIGHT	1568591656457	1.01759	0.848223	-0.234289	0.71877	-0.132918	-0.682424	-0.0406172	0.97185	-0.232071	0.69406	0.194524	0.693138
RIGHT	1568591656459	1.01759	0.848224	-0.234289	0.718782	-0.132903	-0.682414	-0.0406342	0.97185	-0.232071	0.694047	0.194538	0.693148
RIGHT	1568591656461	1.01759	0.848223	-0.234289	0.71877	-0.132918	-0.682424	-0.0406172	0.97185	-0.232071	0.69406	0.194524	0.693138
RIGHT	1568591656464	1.01759	0.848224	-0.234289	0.718782	-0.132903	-0.682414	-0.0406342	0.97185	-0.232071	0.694047	0.194538	0.693148
RIGHT	1568591656466	1.0176	0.848231	-0.234296	0.718793	-0.1329	-0.682404	-0.0406218	0.971853	-0.232059	0.694037	0.194523	0.693162
RIGHT	1568591656468	1.0176	0.84823	-0.234296	0.718781	-0.132903	-0.682416	-0.0406277	0.971851	-0.232065	0.694049	0.194529	0.693148
RIGHT	1568591656470	1.0176	0.84823	-0.234296	0.718781	-0.132903	-0.682416	-0.0406277	0.971851	-0.232065	0.694049	0.194529	0.693148
RIGHT	1568591656472	1.0176	0.84823	-0.234296	0.718781	-0.132903	-0.682416	-0.0406277	0.971851	-0.232065	0.694049	0.194529	0.693148
RIGHT	1568591656474	1.0176	0.84823	-0.234296	0.718781	-0.132903	-0.682416	-0.0406277	0.971851	-0.232065	0.694049	0.194529	0.693148
RIGHT	1568591656476	1.01762	0.848246	-0.234308	0.718783	-0.132893	-0.682414	-0.0406257	0.971855	-0.23205	0.694046	0.194517	0.693155
RIGHT	1568591656479	1.01762	0.848247	-0.234307	0.718784	-0.132914	-0.68241	-0.0406155	0.971851	-0.232069	0.694046	0.194524	0.693153
RIGHT	1568591656481	1.01762	0.848247	-0.234307	0.718784	-0.132914	-0.68241	-0.0406155	0.971851	-0.232069	0.694046	0.194524	0.693153
RIGHT	1568591656483	1.01761	0.848249	-0.234312	0.718743	-0.132938	-0.682449	-0.0405742	0.971858	-0.232045	0.694091	0.194471	0.693122
RIGHT	1568591656487	1.01762	0.848251	-0.234313	0.718738	-0.132913	-0.682459	-0.0405834	0.971865	-0.232017	0.694096	0.194456	0.693122
